ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Active
03/13/2020,Alabama,US,5,0,0,5
03/14/2020,Alabama,US,6,0,0,6
03/15/2020,Alabama,US,12,0,0,12
03/16/2020,Alabama,US,29,0,0,29
03/17/2020,Alabama,US,39,0,0,39
03/18/2020,Alabama,US,46,0,0,46
03/19/2020,Alabama,US,78,0,0,78
03/20/2020,Alabama,US,83,0,0,83
03/21/2020,Alabama,US,131,0,0,131
03/22/2020,Alabama,US,157,0,0,157
03/23/2020,Alabama,US,196,0,0,196
03/24/2020,Alabama,US,242,0,0,242
03/25/2020,Alabama,US,381,1,0,380
03/26/2020,Alabama,US,517,1,0,516
03/27/2020,Alabama,US,587,4,0,583
03/28/2020,Alabama,US,694,4,0,690
03/29/2020,Alabama,US,825,10,0,815
03/30/2020,Alabama,US,899,10,0,889
03/31/2020,Alabama,US,987,23,0,964
04/01/2020,Alabama,US,1060,27,0,1033
04/02/2020,Alabama,US,1233,32,0,1201
04/03/2020,Alabama,US,1495,38,0,1457
04/04/2020,Alabama,US,1614,44,0,1570
04/05/2020,Alabama,US,1765,45,0,1720
04/06/2020,Alabama,US,1952,49,0,1903
04/07/2020,Alabama,US,2169,64,0,2105
04/08/2020,Alabama,US,2328,66,0,2262
04/09/2020,Alabama,US,2703,70,0,2633
04/10/2020,Alabama,US,2947,80,0,2867
04/11/2020,Alabama,US,3217,92,0,3125
04/12/2020,Alabama,US,3563,93,0,3470
04/13/2020,Alabama,US,3734,99,0,3635
04/14/2020,Alabama,US,3953,114,0,3839
04/15/2020,Alabama,US,4075,118,0,3957
04/16/2020,Alabama,US,4345,133,0,4212
04/17/2020,Alabama,US,4571,148,0,4423
04/18/2020,Alabama,US,4712,153,0,4559
04/19/2020,Alabama,US,4888,157,0,4731
04/20/2020,Alabama,US,5079,163,0,4916
04/21/2020,Alabama,US,5317,183,0,5134
04/22/2020,Alabama,US,5593,196,0,5397
04/23/2020,Alabama,US,5832,202,0,5630
03/10/2020,Alaska,US,0,0,0,0
03/11/2020,Alaska,US,0,0,0,0
03/12/2020,Alaska,US,0,0,0,0
03/13/2020,Alaska,US,1,0,0,1
03/15/2020,Alaska,US,1,0,0,1
03/16/2020,Alaska,US,1,0,0,1
03/17/2020,Alaska,US,3,0,0,3
03/18/2020,Alaska,US,6,0,0,6
03/19/2020,Alaska,US,9,0,0,9
03/20/2020,Alaska,US,12,0,0,12
03/21/2020,Alaska,US,15,0,0,15
03/22/2020,Alaska,US,20,0,0,20
03/23/2020,Alaska,US,30,0,0,30
03/24/2020,Alaska,US,34,0,0,34
03/25/2020,Alaska,US,41,1,0,40
03/26/2020,Alaska,US,56,1,0,55
03/27/2020,Alaska,US,58,1,0,57
03/28/2020,Alaska,US,85,2,0,83
03/29/2020,Alaska,US,102,2,0,100
03/30/2020,Alaska,US,114,3,0,111
03/31/2020,Alaska,US,119,3,0,116
04/01/2020,Alaska,US,132,3,0,129
04/02/2020,Alaska,US,143,3,0,140
04/03/2020,Alaska,US,157,3,0,154
04/04/2020,Alaska,US,171,5,0,166
04/05/2020,Alaska,US,185,6,0,179
04/06/2020,Alaska,US,190,6,0,184
04/07/2020,Alaska,US,213,6,0,207
04/08/2020,Alaska,US,226,7,0,219
04/09/2020,Alaska,US,235,7,0,228
04/10/2020,Alaska,US,246,7,0,239
04/11/2020,Alaska,US,257,8,0,249
04/12/2020,Alaska,US,272,8,0,264
04/13/2020,Alaska,US,277,8,0,269
04/14/2020,Alaska,US,285,9,0,276
04/15/2020,Alaska,US,293,9,0,284
04/16/2020,Alaska,US,300,9,0,291
04/17/2020,Alaska,US,309,9,0,300
04/18/2020,Alaska,US,314,9,0,305
04/19/2020,Alaska,US,319,9,0,310
04/20/2020,Alaska,US,321,9,0,312
04/21/2020,Alaska,US,329,9,0,320
04/22/2020,Alaska,US,335,9,0,326
04/23/2020,Alaska,US,337,9,0,328
03/22/2020,American Samoa,US,0,0,0,0
03/23/2020,American Samoa,US,0,0,0,0
03/24/2020,American Samoa,US,0,0,0,0
03/25/2020,American Samoa,US,0,0,0,0
03/26/2020,American Samoa,US,0,0,0,0
03/27/2020,American Samoa,US,0,0,0,0
03/28/2020,American Samoa,US,0,0,0,0
03/29/2020,American Samoa,US,0,0,0,0
03/30/2020,American Samoa,US,0,0,0,0
01/26/2020,Arizona,US,1,0,0,1
01/27/2020,Arizona,US,1,0,0,1
01/28/2020,Arizona,US,1,0,0,1
01/29/2020,Arizona,US,1,0,0,1
01/30/2020,Arizona,US,1,0,0,1
01/31/2020,Arizona,US,1,0,0,1
03/10/2020,Arizona,US,6,0,1,5
03/11/2020,Arizona,US,9,0,1,8
03/12/2020,Arizona,US,9,0,1,8
03/13/2020,Arizona,US,9,0,1,8
03/14/2020,Arizona,US,12,0,1,11
03/15/2020,Arizona,US,13,0,1,12
03/16/2020,Arizona,US,18,0,1,17
03/17/2020,Arizona,US,20,0,1,19
03/18/2020,Arizona,US,27,0,0,27
03/19/2020,Arizona,US,45,0,0,45
03/20/2020,Arizona,US,78,0,0,78
03/21/2020,Arizona,US,118,1,0,117
03/22/2020,Arizona,US,152,2,0,150
03/23/2020,Arizona,US,235,2,0,233
03/24/2020,Arizona,US,326,5,0,321
03/25/2020,Arizona,US,401,6,0,395
03/26/2020,Arizona,US,508,8,0,500
03/27/2020,Arizona,US,665,13,0,652
03/28/2020,Arizona,US,773,15,0,758
03/29/2020,Arizona,US,919,17,0,902
03/30/2020,Arizona,US,1157,20,0,1137
03/31/2020,Arizona,US,1289,24,0,1265
04/01/2020,Arizona,US,1530,29,0,1501
04/02/2020,Arizona,US,1715,32,0,1683
04/03/2020,Arizona,US,1937,41,0,1896
04/04/2020,Arizona,US,2187,52,0,2135
04/05/2020,Arizona,US,2486,64,0,2422
04/06/2020,Arizona,US,2732,65,0,2667
04/07/2020,Arizona,US,2870,73,0,2797
04/08/2020,Arizona,US,3036,80,0,2956
04/09/2020,Arizona,US,3018,89,0,2929
04/10/2020,Arizona,US,3112,97,0,3015
04/11/2020,Arizona,US,3393,108,0,3285
04/12/2020,Arizona,US,3542,115,0,3427
04/13/2020,Arizona,US,3705,122,0,3583
04/14/2020,Arizona,US,3809,131,0,3678
04/15/2020,Arizona,US,3964,142,0,3822
04/16/2020,Arizona,US,4237,150,0,4087
04/17/2020,Arizona,US,4511,169,0,4342
04/18/2020,Arizona,US,4724,180,0,4544
04/19/2020,Arizona,US,4933,184,0,4749
04/20/2020,Arizona,US,5068,191,0,4877
04/21/2020,Arizona,US,5256,208,0,5048
04/22/2020,Arizona,US,5473,231,0,5242
04/23/2020,Arizona,US,5772,249,0,5523
03/10/2020,Arkansas,US,0,0,0,0
03/11/2020,Arkansas,US,1,0,0,1
03/12/2020,Arkansas,US,6,0,0,6
03/13/2020,Arkansas,US,6,0,0,6
03/14/2020,Arkansas,US,12,0,0,12
03/15/2020,Arkansas,US,16,0,0,16
03/16/2020,Arkansas,US,22,0,0,22
03/17/2020,Arkansas,US,22,0,0,22
03/18/2020,Arkansas,US,33,0,0,33
03/19/2020,Arkansas,US,62,0,0,62
03/20/2020,Arkansas,US,96,0,0,96
03/21/2020,Arkansas,US,122,0,0,122
03/22/2020,Arkansas,US,165,0,0,165
03/23/2020,Arkansas,US,192,0,0,192
03/24/2020,Arkansas,US,219,2,0,217
03/25/2020,Arkansas,US,280,2,0,278
03/26/2020,Arkansas,US,335,2,0,333
03/27/2020,Arkansas,US,381,3,0,378
03/28/2020,Arkansas,US,409,5,0,404
03/29/2020,Arkansas,US,426,6,0,420
03/30/2020,Arkansas,US,473,7,0,466
03/31/2020,Arkansas,US,523,8,0,515
04/01/2020,Arkansas,US,584,10,0,574
04/02/2020,Arkansas,US,643,12,0,631
04/03/2020,Arkansas,US,704,12,0,692
04/04/2020,Arkansas,US,743,14,0,729
04/05/2020,Arkansas,US,837,16,0,821
04/06/2020,Arkansas,US,875,16,0,859
04/07/2020,Arkansas,US,946,18,0,928
04/08/2020,Arkansas,US,1000,18,0,982
04/09/2020,Arkansas,US,1119,21,0,1098
04/10/2020,Arkansas,US,1171,21,0,1150
04/11/2020,Arkansas,US,1228,25,0,1203
