P1,P2,Weight
KRLS,IreneMontero,1
LauraBorras,IreneMontero,1
gabrielrufian,IreneMontero,1
AdaColau,IreneMontero,1
Jaumeasens,IreneMontero,1
miqueliceta,IreneMontero,1
InesArrimadas,IreneMontero,1
sanchezcastejon,IreneMontero,1
carmencalvo_,IreneMontero,1
PabloIglesias,IreneMontero,1
pablocasado_,IreneMontero,1
KRLS,PabloIglesias,1
LauraBorras,PabloIglesias,1
junqueras,PabloIglesias,1
gabrielrufian,PabloIglesias,1
HiginiaRoig,PabloIglesias,1
AdaColau,PabloIglesias,1
Jaumeasens,PabloIglesias,1
miqueliceta,PabloIglesias,1
InesArrimadas,PabloIglesias,1
Albert_Rivera,PabloIglesias,1
sanchezcastejon,PabloIglesias,1
carmencalvo_,PabloIglesias,1
IreneMontero,PabloIglesias,1
pablocasado_,PabloIglesias,1
monasterioR,PabloIglesias,1
KRLS,sanchezcastejon,1
LauraBorras,sanchezcastejon,1
junqueras,sanchezcastejon,1
yeyaboya,sanchezcastejon,1
HiginiaRoig,sanchezcastejon,1
AdaColau,sanchezcastejon,1
miqueliceta,sanchezcastejon,1
nuriamarinlh,sanchezcastejon,1
Albiol_XG,sanchezcastejon,1
cayetanaAT,sanchezcastejon,1
carmencalvo_,sanchezcastejon,1
PabloIglesias,sanchezcastejon,1
IreneMontero,sanchezcastejon,1
pablocasado_,sanchezcastejon,1
IdiazAyuso,sanchezcastejon,1
monasterioR,sanchezcastejon,1
KRLS,AdaColau,1
junqueras,AdaColau,1
gabrielrufian,AdaColau,1
yeyaboya,AdaColau,1
HiginiaRoig,AdaColau,1
Jaumeasens,AdaColau,1
miqueliceta,AdaColau,1
nuriamarinlh,AdaColau,1
Albert_Rivera,AdaColau,1
sanchezcastejon,AdaColau,1
PabloIglesias,AdaColau,1
IreneMontero,AdaColau,1
monasterioR,AdaColau,1
KRLS,yeyaboya,1
LauraBorras,yeyaboya,1
HiginiaRoig,yeyaboya,1
Jaumeasens,yeyaboya,1
InesArrimadas,yeyaboya,1
KRLS,Jaumeasens,1
LauraBorras,Jaumeasens,1
gabrielrufian,Jaumeasens,1
yeyaboya,Jaumeasens,1
HiginiaRoig,Jaumeasens,1
AdaColau,Jaumeasens,1
PabloIglesias,Jaumeasens,1
IreneMontero,Jaumeasens,1
KRLS,gabrielrufian,1
LauraBorras,gabrielrufian,1
junqueras,gabrielrufian,1
yeyaboya,gabrielrufian,1
HiginiaRoig,gabrielrufian,1
AdaColau,gabrielrufian,1
Jaumeasens,gabrielrufian,1
cayetanaAT,gabrielrufian,1
PabloIglesias,gabrielrufian,1
IreneMontero,gabrielrufian,1
pablocasado_,gabrielrufian,1
KRLS,LauraBorras,1
junqueras,LauraBorras,1
gabrielrufian,LauraBorras,1
HiginiaRoig,LauraBorras,1
Jaumeasens,LauraBorras,1
PabloIglesias,LauraBorras,1
KRLS,HiginiaRoig,1
LauraBorras,HiginiaRoig,1
junqueras,HiginiaRoig,1
gabrielrufian,HiginiaRoig,1
yeyaboya,HiginiaRoig,1
AdaColau,HiginiaRoig,1
Jaumeasens,HiginiaRoig,1
miqueliceta,HiginiaRoig,1
InesArrimadas,HiginiaRoig,1
PabloIglesias,HiginiaRoig,1
IreneMontero,HiginiaRoig,1
KRLS,junqueras,1
LauraBorras,junqueras,1
gabrielrufian,junqueras,1
yeyaboya,junqueras,1
HiginiaRoig,junqueras,1
AdaColau,junqueras,1
Jaumeasens,junqueras,1
miqueliceta,junqueras,1
nuriamarinlh,junqueras,1
InesArrimadas,junqueras,1
PabloIglesias,junqueras,1
IreneMontero,junqueras,1
KRLS,miqueliceta,1
junqueras,miqueliceta,1
HiginiaRoig,miqueliceta,1
AdaColau,miqueliceta,1
Jaumeasens,miqueliceta,1
nuriamarinlh,miqueliceta,1
InesArrimadas,miqueliceta,1
Albert_Rivera,miqueliceta,1
Albiol_XG,miqueliceta,1
sanchezcastejon,miqueliceta,1
PabloIglesias,miqueliceta,1
IreneMontero,miqueliceta,1
IdiazAyuso,miqueliceta,1
KRLS,Albert_Rivera,1
miqueliceta,Albert_Rivera,1
InesArrimadas,Albert_Rivera,1
Albiol_XG,Albert_Rivera,1
cayetanaAT,Albert_Rivera,1
sanchezcastejon,Albert_Rivera,1
PabloIglesias,Albert_Rivera,1
IreneMontero,Albert_Rivera,1
pablocasado_,Albert_Rivera,1
LauraBorras,KRLS,1
junqueras,KRLS,1
gabrielrufian,KRLS,1
yeyaboya,KRLS,1
HiginiaRoig,KRLS,1
Jaumeasens,KRLS,1
miqueliceta,KRLS,1
nuriamarinlh,KRLS,1
InesArrimadas,KRLS,1
Albert_Rivera,KRLS,1
sanchezcastejon,KRLS,1
PabloIglesias,KRLS,1
IreneMontero,KRLS,1
junqueras,InesArrimadas,1
HiginiaRoig,InesArrimadas,1
Jaumeasens,InesArrimadas,1
miqueliceta,InesArrimadas,1
Albert_Rivera,InesArrimadas,1
Albiol_XG,InesArrimadas,1
cayetanaAT,InesArrimadas,1
PabloIglesias,InesArrimadas,1
IreneMontero,InesArrimadas,1
pablocasado_,InesArrimadas,1
Santi_ABASCAL,InesArrimadas,1
gabrielrufian,cayetanaAT,1
InesArrimadas,cayetanaAT,1
Albert_Rivera,cayetanaAT,1
Albiol_XG,cayetanaAT,1
pablocasado_,cayetanaAT,1
AdaColau,carmencalvo_,1
miqueliceta,carmencalvo_,1
nuriamarinlh,carmencalvo_,1
sanchezcastejon,carmencalvo_,1
PabloIglesias,carmencalvo_,1
IreneMontero,carmencalvo_,1
AdaColau,nuriamarinlh,1
miqueliceta,nuriamarinlh,1
sanchezcastejon,nuriamarinlh,1
carmencalvo_,nuriamarinlh,1
PabloIglesias,nuriamarinlh,1
Jaumeasens,pablocasado_,1
InesArrimadas,pablocasado_,1
Albert_Rivera,pablocasado_,1
Albiol_XG,pablocasado_,1
cayetanaAT,pablocasado_,1
sanchezcastejon,pablocasado_,1
PabloIglesias,pablocasado_,1
IreneMontero,pablocasado_,1
IdiazAyuso,pablocasado_,1
Santi_ABASCAL,pablocasado_,1
monasterioR,pablocasado_,1
InesArrimadas,Albiol_XG,1
cayetanaAT,Albiol_XG,1
pablocasado_,Albiol_XG,1
IdiazAyuso,Albiol_XG,1
Santi_ABASCAL,Albiol_XG,1
InesArrimadas,Santi_ABASCAL,1
pablocasado_,Santi_ABASCAL,1
IdiazAyuso,Santi_ABASCAL,1
monasterioR,Santi_ABASCAL,1
Albiol_XG,IdiazAyuso,1
cayetanaAT,IdiazAyuso,1
sanchezcastejon,IdiazAyuso,1
pablocasado_,IdiazAyuso,1
Santi_ABASCAL,IdiazAyuso,1
IdiazAyuso,monasterioR,1
Santi_ABASCAL,monasterioR,1
