geo,household_goods,films_music,clothes_sports_goods,electronic_equipment,tickets_for_events,travel_and_holiday_accommodation,sex
Belgium,30,19,48,23,38,43,Males
Belgium,28,12,62,14,38,44,Females
Bulgaria,39,5,70,22,14,24,Males
Bulgaria,32,3,82,9,15,24,Females
Czechia,46,15,64,40,47,58,Males
Czechia,51,9,79,16,46,55,Females
Denmark,59,50,64,45,67,73,Males
Denmark,58,44,74,23,72,75,Females
Germany (until 1990 former territory of the FRG),56,49,61,35,44,53,Males
Germany (until 1990 former territory of the FRG),52,38,77,18,46,54,Females
Estonia,47,26,39,38,56,69,Males
Estonia,46,19,60,17,66,70,Females
Ireland,35,33,64,48,62,72,Males
Ireland,41,26,79,25,66,74,Females
Greece,24,12,57,35,24,45,Males
Greece,23,10,67,18,22,38,Females
Spain,43,18,53,32,48,63,Males
Spain,41,13,59,21,50,66,Females
France,41,19,55,23,26,59,Males
France,40,15,66,9,26,59,Females
Croatia,32,5,44,36,13,10,Males
Croatia,43,4,65,16,12,10,Females
Italy,39,13,40,29,19,38,Males
Italy,39,9,49,14,22,39,Females
Cyprus,16,13,56,23,17,68,Males
Cyprus,19,7,76,7,22,57,Females
Latvia,38,9,36,44,28,23,Males
Latvia,43,8,58,21,38,28,Females
Lithuania,48,17,46,33,41,47,Males
Lithuania,41,11,66,14,42,43,Females
Luxembourg,41,35,51,35,43,64,Males
Luxembourg,41,28,68,18,47,66,Females
Hungary,32,17,46,53,34,39,Males
Hungary,37,9,62,31,32,33,Females
Malta,35,29,61,41,46,66,Males
Malta,29,24,82,21,52,62,Females
Netherlands,57,28,70,45,63,73,Males
Netherlands,46,18,78,28,66,70,Females
Austria,37,43,57,44,41,62,Males
Austria,37,33,71,24,42,64,Females
Poland,41,11,60,28,21,21,Males
Poland,36,7,78,11,18,20,Females
Portugal,43,18,53,33,32,57,Males
Portugal,29,7,70,14,27,53,Females
Romania,22,7,68,22,9,17,Males
Romania,25,5,78,8,10,10,Females
Slovenia,44,6,37,27,21,40,Males
Slovenia,29,4,48,10,28,43,Females
Slovakia,43,12,61,33,33,38,Males
Slovakia,38,9,74,17,32,37,Females
Finland,16,43,53,29,58,62,Males
Finland,31,32,70,19,67,68,Females
Sweden,42,59,63,36,57,72,Males
Sweden,33,55,79,17,67,72,Females
Iceland,33,41,51,30,70,76,Males
Iceland,33,41,66,14,73,73,Females
Norway,37,67,55,39,61,71,Males
Norway,40,54,68,18,67,79,Females
Switzerland,45,51,63,36,59,83,Males
Switzerland,44,45,74,24,59,77,Females
United Kingdom,59,54,69,52,55,67,Males
United Kingdom,62,43,79,33,54,64,Females
